,date,brand,model,fuel,transmission_type,color,year,km*1000,price(Thousand)
271,22-10-22,Chevrolet,Optra,Benzene,automatic,Blue,2018,140,205
272,22-10-22,Renault,Fluence,Benzene,automatic,Gold,2014,75,325
273,22-10-22,Skoda,Fabia,Benzene,manual,Dark red,2001,217,90
274,22-10-22,Peugeot,505,Benzene,manual,Beige,1988,0,77
275,22-10-22,Fiat,Tempra,Benzene,manual,Petroleum,1990,110,53
276,22-10-22,Toyota,Corolla,Benzene,automatic,Black,2016,100,390
277,22-10-22,Nissan,Sunny,Benzene,automatic,Light grey,2018,60,290
278,22-10-22,Ssang Yong,Tivoli XLV,Benzene,automatic,Brown,2017,0.06,20
279,22-10-22,Hyundai,Excel,Benzene,manual,Gray,1994,250,52
280,22-10-22,Renault,Scenic,Benzene,automatic,Black,2008,138,195
281,22-10-22,Mercedes,E 180,Benzene,automatic,Black,2019,7,1850
282,22-10-22,Mercedes,GLC 300,Benzene,automatic,Gray,2019,89,1675
283,22-10-22,Volvo,S60,Benzene,automatic,Blue,2018,95,610
284,22-10-22,Mercedes,E 200,Benzene,automatic,Black,2020,30,2075
285,22-10-22,Hyundai,Verna,Benzene,manual,Black,2010,187,132
286,22-10-22,Hyundai,IX 35,Benzene,automatic,Silver,2016,105,535
287,22-10-22,Speranza,Tiggo,Benzene,automatic,Dark blue,2021,13,475
288,22-10-22,Mercedes,E 200,Benzene,automatic,Black,2015,150,1090
289,22-10-22,Land Rover,Range Rover Sport || Sport,Benzene,automatic,Black,2020,60,3150
290,22-10-22,Suzuki,Pickup,Benzene,manual,White,2019,80,150
291,22-10-22,Chevrolet,Pickup,diesel,manual,White,2014,100,270
292,22-10-22,Renault,Logan,Benzene,manual,Red,2015,66,185
293,22-10-22,Fiat,128,Benzene,manual,Red,1999,0,18
294,22-10-22,Toyota,Yaris,Benzene,automatic,Black,2015,105,280
295,22-10-22,Speranza,A516,Benzene,manual,Silver,2009,0,80
296,22-10-22,BMW,523,Benzene,automatic,Black,1997,90,240
297,22-10-22,Nissan,Sunny,Benzene,automatic,Light grey,2015,84,215
298,22-10-22,Jac,S4,Benzene,automatic,Red,2022,7.7,500
299,22-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Black,2015,90,338
300,22-10-22,Opel,Vectra,Benzene,manual,Dark red,1992,0,55
301,22-10-22,Skoda,Octavia A4,Benzene,automatic,Silver,2003,360,185
